Change Component Kind : Designator=Q6_ECH5 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH6 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH7 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH4 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH1 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH2 Old Kind=Standard (No BOM) New Kind=Standard
Change Component Kind : Designator=Q6_ECH3 Old Kind=Standard (No BOM) New Kind=Standard
Change component parameters: Designator = "J3" ("J3"); Footprint = "XHFB9500G"; UniqueID = "\UDKOMWFI" ("\UDKOMWFI")
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "XF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer P/N"; Value = "XFHB9500G"; VariantName = "[No Variations]"
Change component parameters: Designator = "J5" ("J5"); Footprint = "282834-8"; UniqueID = "\TFQKQPXQ" ("\TFQKQPXQ")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "TE Connectivity AMP Connectors"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "282834-8"; VariantName = "[No Variations]"
Change component parameters: Designator = "L1" ("L1"); Footprint = "IHLP2020CZER3R3M01"; UniqueID = "\ERYRMHRA\DALHJJMV" ("\ERYRMHRA\DALHJJMV")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Vishay Dale"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer P/N"; Value = "IHLP2020CZER3R3M01"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q2" ("Q2"); Footprint = "SOT78(TO220AB)"; UniqueID = "\JAKJRHHU" ("\JAKJRHHU")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "Populated"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "Populated"
Change component parameters: Designator = "Q5_ECH1" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\YPTCJMER\HXPBTSCM" ("\YPTCJMER\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH2" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\DSCVBBLL\HXPBTSCM" ("\DSCVBBLL\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH3" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\OXTHBDAO\HXPBTSCM" ("\OXTHBDAO\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH4" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\BWROULVB\HXPBTSCM" ("\BWROULVB\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH5" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\YYLNZYKA\HXPBTSCM" ("\YYLNZYKA\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH6" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\ODXLIOHL\HXPBTSCM" ("\ODXLIOHL\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q5_ECH7" ("Q5"); Footprint = "ON-SEMI SOT 23"; UniqueID = "\QWHKKKMI\HXPBTSCM" ("\QWHKKKMI\HXPBTSCM")
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "FDN335N"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufaturer"; Value = "onsemi"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q6_ECH1" ("Q6"); Footprint = "SOT78(TO220AB)"; UniqueID = "\YPTCJMER\AFREGNED" ("\YPTCJMER\AFREGNED")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q6_ECH2" ("Q6"); Footprint = "SOT78(TO220AB)"; UniqueID = "\DSCVBBLL\AFREGNED" ("\DSCVBBLL\AFREGNED")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q6_ECH3" ("Q6"); Footprint = "SOT78(TO220AB)"; UniqueID = "\OXTHBDAO\AFREGNED" ("\OXTHBDAO\AFREGNED")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q6_ECH4" ("Q6"); Footprint = "SOT78(TO220AB)"; UniqueID = "\BWROULVB\AFREGNED" ("\BWROULVB\AFREGNED")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Bojack"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer P/N"; Value = "IRF530N0"; VariantName = "[No Variations]"
