File Design Information:,,,,,
,,,,,
Date:       30/08/25,,,,,
Time:       15:17,,,,,
Revision:   9b0482370c24c2b06976801442b54950c14bea97,,,,,
Variant:    JLC_PCB,,,,,
Units used: mm,,,,,
,,,,,
Designator,Comment,Layer,Center-X(mm),Center-Y(mm),Rotation
U2_WCH4,DRV8871DDAR,TopLayer,114.25,69.55,90
U2_WCH3,DRV8871DDAR,TopLayer,93.95,69.55,90
U2_WCH2,DRV8871DDAR,TopLayer,73.65,69.55,90
U2_WCH1,DRV8871DDAR,TopLayer,53.35,69.55,90
R3_WCH4,20K,TopLayer,118.3,66.1515,90
R3_WCH3,20K,TopLayer,98,66.1515,90
R3_WCH2,20K,TopLayer,77.7,66.1515,90
R3_WCH1,20K,TopLayer,57.4,66.1515,90
C8_WCH4,0.1uF,TopLayer,118.3,71.1944,90
C8_WCH3,0.1uF,TopLayer,98,71.1944,90
C8_WCH2,0.1uF,TopLayer,77.7,71.1944,90
C8_WCH1,0.1uF,TopLayer,57.4,71.1944,90
C7_WCH4,0.1uF,TopLayer,120.8,71.1944,90
C7_WCH3,0.1uF,TopLayer,100.5,71.1944,90
C7_WCH2,0.1uF,TopLayer,80.2,71.1944,90
C7_WCH1,0.1uF,TopLayer,59.9,71.1944,90
C6_WCH4,47uF 25V,TopLayer,125.6,69.8,270
C6_WCH3,47uF 25V,TopLayer,105.3,69.8,270
C6_WCH2,47uF 25V,TopLayer,85,69.8,270
C6_WCH1,47uF 25V,TopLayer,64.7,69.8,270
U1,TPS563200DDCR,TopLayer,26.85,62.661,180
R8,10K,TopLayer,32.7,74.7,180
R7,56K2,TopLayer,32.7,72.2,0
R6_ECH7,10K,TopLayer,147.4003,43.4603,180
R6_ECH6,10K,TopLayer,127.4003,43.4603,180
R6_ECH5,10K,TopLayer,107.4003,43.4603,180
R6_ECH4,10K,TopLayer,87.4003,43.4603,180
R6_ECH3,10K,TopLayer,67.4003,43.4603,180
R6_ECH2,10K,TopLayer,47.4003,43.4603,180
R6_ECH1,10K,TopLayer,27.4003,43.4603,180
R5_ECH7,1K,TopLayer,147.4003,40.9603,0
R5_ECH6,1K,TopLayer,127.4003,40.9603,0
R5_ECH5,1K,TopLayer,107.4003,40.9603,0
R5_ECH4,1K,TopLayer,87.4003,40.9603,0
R5_ECH3,1K,TopLayer,67.4003,40.9603,0
R5_ECH2,1K,TopLayer,47.4003,40.9603,0
R5_ECH1,1K,TopLayer,27.4003,40.9603,0
R2,10K,TopLayer,156.3,39.7603,180
R1,1K,TopLayer,156.3,37.2603,0
Q5_ECH7,FDN335N,TopLayer,146.9003,37.9603,90
Q5_ECH6,FDN335N,TopLayer,126.9003,37.9603,90
Q5_ECH5,FDN335N,TopLayer,106.9003,37.9603,90
Q5_ECH4,FDN335N,TopLayer,86.9003,37.9603,90
Q5_ECH3,FDN335N,TopLayer,66.9003,37.9603,90
Q5_ECH2,FDN335N,TopLayer,46.9003,37.9603,90
Q5_ECH1,FDN335N,TopLayer,26.9003,37.9603,90
Q2,IRF530N0-Bojack,TopLayer,155.5,30.1803,270
L1,3.3uH 5A,TopLayer,33.4,67.693,270
C5,10uF,TopLayer,37.7,68.9,90
C4,10uF,TopLayer,40.2,68.9,90
C3,10uF,TopLayer,26.8,66,0
C2,10uF,TopLayer,26.8,68.9,0
C1,0.1uF,TopLayer,34.521,63.3,180
